ip_score,lokasi_score,device_score,os_score,browser_score,jam_login,ip_frequency,is_high_risk_country,is_night_login,combo_frequency,anomaly_score,risk_level
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,6.478509642208569,-0.055394565802674656,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,6.854354502255021,-0.057295113135859,sedang
0.0,0.0,1.0,0.0,0.5,12,1.0986122886681098,0.0,0.0,7.422373700986824,0.018961698952087103,rendah
0.0,0.0,1.0,0.0,0.0,12,1.0986122886681098,0.0,0.0,6.854354502255021,-0.05427553519507966,sedang
0.0,0.0,1.0,0.0,0.0,12,1.6094379124341005,0.0,0.0,6.52649485957079,-0.04608586634038103,sedang
0.0,0.0,1.0,0.0,0.0,12,2.4849066497880004,0.0,0.0,6.854354502255021,-0.0007866301983912027,rendah
0.0,0.0,1.0,0.5,0.0,12,0.6931471805599453,0.0,0.0,1.3862943611198906,0.13824182622186043,rendah
0.0,0.0,1.0,0.0,0.0,12,2.19722457733622,0.0,0.0,5.529429087511423,0.004357383404983262,rendah
0.0,0.0,1.0,0.0,0.5,12,1.0986122886681098,0.0,0.0,3.713572066704308,0.06469802128366664,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,1.6094379124341005,0.0,0.0,6.854354502255021,-0.04669977869113606,sedang
0.0,0.0,1.0,0.5,0.0,12,0.6931471805599453,0.0,0.0,3.58351893845611,0.10419482321623807,rendah
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.0,0.5,12,1.0986122886681098,0.0,0.0,7.422373700986824,0.018961698952087103,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,2.9444389791664403,0.0,0.0,6.478509642208569,0.024694533710616917,rendah
0.0,0.0,1.0,0.5,0.0,12,0.6931471805599453,0.0,0.0,4.941642422609304,0.06295551015237633,rendah
0.0,0.0,1.0,0.5,0.0,12,1.0986122886681098,0.0,0.0,5.942799375126701,0.07105026099260059,rendah
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.5,0.0,12,1.0986122886681098,0.0,0.0,5.942799375126701,0.07105026099260059,rendah
0.0,0.0,1.0,0.0,0.0,12,1.6094379124341005,0.0,0.0,6.854354502255021,-0.04669977869113606,sedang
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.0,0.0,12,1.3862943611198906,0.0,0.0,5.66988092298052,-0.03094963623336855,rendah
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.0,0.0,12,1.3862943611198906,0.0,0.0,6.854354502255021,-0.049836144818757755,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,1.0986122886681098,0.0,0.0,3.1780538303479458,0.02460696858805267,rendah
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,5.043425116919247,-0.012159092019934703,rendah
0.0,0.0,1.0,0.0,0.0,12,2.19722457733622,0.0,0.0,2.079441541679836,0.07664499400348379,rendah
0.0,0.0,1.0,0.5,0.0,12,0.6931471805599453,0.0,0.0,5.327876168789581,0.06268848086357581,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,6.52649485957079,-0.0558627076502215,sedang
0.0,0.0,1.0,0.0,0.5,12,1.3862943611198906,0.0,0.0,7.422373700986824,0.027904925440045636,rendah
0.0,0.0,1.0,0.0,0.0,12,2.9444389791664403,0.0,0.0,6.478509642208569,0.024694533710616917,rendah
0.0,0.0,1.0,0.0,0.0,12,1.6094379124341005,0.0,0.0,7.976251943745623,-0.053197568794242645,sedang
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.96693349840484,0.024769334024409173,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.976251943745623,-0.07280485466224818,sedang
0.0,0.0,1.0,0.5,0.0,12,1.791759469228055,0.0,0.0,5.942799375126701,0.0900854678032712,rendah
0.0,0.0,1.0,0.0,0.5,12,0.6931471805599453,0.0,0.0,7.422373700986824,0.011278295477879619,rendah
0.0,0.0,1.0,0.0,0.0,12,0.6931471805599453,0.0,0.0,7.96693349840484,-0.08422818787734943,sedang
